N063.59.31.655 W022.37.11.847
                                         N063.58.29.462 W022.36.35.067
                                         N063.58.29.336 W022.36.35.427
                                         N063.58.29.189 W022.36.35.916
                                         N063.58.29.103 W022.36.36.375
                                         N063.58.29.046 W022.36.36.775
                                         N063.58.29.020 W022.36.37.347
                                         N063.58.29.026 W022.36.37.928
                                         N063.58.29.183 W022.36.39.468
                                         N063.58.28.934 W022.36.37.303
                                         N063.58.28.792 W022.36.36.110
                                         N063.58.28.688 W022.36.35.695
                                         N063.58.28.580 W022.36.35.393
                                         N063.58.28.433 W022.36.35.048
                                         N063.58.28.332 W022.36.34.841
                                         N063.58.28.152 W022.36.34.571
                                         N063.58.27.937 W022.36.34.355
                                         N063.58.27.743 W022.36.34.212
                                         N063.58.27.441 W022.36.34.140
                                         N063.58.28.569 W022.36.34.157
                                         N063.58.28.792 W022.36.36.089
                                         N063.58.34.094 W022.37.21.781
                                         N063.58.40.922 W022.38.19.448
                                         N063.58.43.986 W022.38.44.709
                                         N063.58.47.423 W022.39.13.710
                                         N063.58.47.620 W022.39.15.132
                                         N063.58.47.705 W022.39.15.437
                                         N063.58.47.786 W022.39.15.742
                                         N063.58.47.876 W022.39.15.985
                                         N063.58.47.988 W022.39.16.268
                                         N063.58.48.110 W022.39.16.489
                                         N063.58.48.268 W022.39.16.719
                                         N063.58.48.357 W022.39.16.800
                                         N063.58.48.725 W022.39.17.083
                                         N063.58.49.653 W022.39.17.084
                                         N063.58.54.810 W022.39.17.073
                                         N063.59.05.041 W022.39.17.136
                                         N063.59.05.344 W022.39.17.063
                                         N063.59.05.612 W022.39.16.825
                                         N063.59.05.825 W022.39.16.416
                                         N063.59.05.924 W022.39.16.074
                                         N063.59.06.031 W022.39.15.714
                                         N063.59.06.067 W022.39.15.233
                                         N063.59.06.067 W022.37.55.977
                                         N063.59.06.073 W022.38.00.070
                                         N063.59.06.140 W022.38.04.299
                                         N063.59.06.233 W022.38.06.180
                                         N063.59.06.468 W022.38.08.981
                                         N063.59.06.731 W022.38.11.246
                                         N063.59.07.081 W022.38.13.681
                                         N063.59.07.452 W022.38.15.769
                                         N063.59.08.031 W022.38.18.205
                                         N063.59.09.168 W022.38.22.682
                                         N063.59.10.096 W022.38.26.316
                                         N063.59.10.551 W022.38.27.791
                                         N063.59.10.989 W022.38.28.757
                                         N063.59.11.326 W022.38.29.189
                                         N063.59.11.624 W022.38.29.498
                                         N063.59.12.081 W022.38.29.874
                                         N063.59.12.617 W022.38.29.995
                                         N063.59.13.663 W022.38.30.058
                                         N063.59.17.628 W022.38.30.026
                                         N063.59.17.798 W022.38.29.917
                                         N063.59.18.016 W022.38.29.724
                                         N063.59.18.178 W022.38.29.539
                                         N063.59.18.324 W022.38.29.259
                                         N063.59.18.466 W022.38.28.938
                                         N063.59.18.568 W022.38.28.632
                                         N063.59.18.647 W022.38.28.279
                                         N063.59.18.709 W022.38.27.896
                                         N063.59.18.737 W022.38.27.450
                                         N063.59.18.738 W022.38.26.586
                                         N063.59.18.748 W022.38.30.565
                                         N063.59.18.756 W022.38.33.374
                                         N063.59.18.741 W022.38.32.691
                                         N063.59.18.702 W022.38.32.196
                                         N063.59.18.638 W022.38.31.721
                                         N063.59.18.636 W022.38.31.717
                                         N063.59.18.519 W022.38.31.266
                                         N063.59.18.333 W022.38.30.789
                                         N063.59.18.188 W022.38.30.530
                                         N063.59.18.049 W022.38.30.325
                                         N063.59.17.850 W022.38.30.137
                                         N063.59.17.665 W022.38.30.045
                                         N063.59.27.749 W022.36.19.746
                                         N063.59.29.510 W022.36.19.706
                                         N063.59.29.823 W022.36.19.287
                                         N063.59.30.016 W022.36.18.779
                                         N063.59.30.147 W022.36.17.429
                                         N063.59.30.140 W022.36.02.955
                                         N063.59.30.080 W022.36.02.392
                                         N063.59.30.005 W022.36.01.901
                                         N063.59.29.927 W022.36.01.550
                                         N063.59.29.789 W022.36.01.089
                                         N063.59.29.532 W022.36.00.420
                                         N063.59.24.146 W022.35.48.114
                                         N063.59.20.920 W022.35.40.725
                                         N063.59.20.156 W022.35.39.051
                                         N063.59.19.977 W022.35.38.767
                                         N063.59.19.794 W022.35.38.526
                                         N063.59.19.573 W022.35.38.358
                                         N063.59.19.220 W022.35.38.108
                                         N063.59.16.117 W022.35.36.030
                                         N063.59.14.660 W022.35.35.037
                                         N063.59.14.469 W022.35.34.964
                                         N063.59.14.058 W022.35.34.929
                                         N063.59.07.225 W022.35.34.915
                                         N063.59.06.780 W022.35.35.087
                                         N063.59.06.562 W022.35.35.435
                                         N063.59.06.331 W022.35.35.886
                                         N063.59.06.220 W022.35.36.412
                                         N063.59.06.191 W022.35.37.271
                                         N063.59.01.417 W022.35.24.612
                                         N063.59.01.434 W022.35.23.366
                                         N063.59.01.425 W022.35.23.960
                                         N063.59.01.768 W022.35.24.006
                                         N063.59.01.759 W022.35.24.641
                                         N063.59.01.768 W022.35.24.006
                                         N063.59.01.098 W022.35.24.983
                                         N063.59.01.149 W022.35.22.872
                                         N063.59.02.086 W022.35.23.010
                                         N063.59.02.034 W022.35.25.226
                                         N063.59.22.455 W022.36.34.115
                                         N063.59.21.041 W022.36.34.118
                                         N063.59.21.142 W022.36.34.097
                                         N063.59.21.234 W022.36.33.964
                                         N063.59.21.329 W022.36.33.765
                                         N063.59.21.335 W022.36.33.753
                                         N063.59.21.433 W022.36.33.503
                                         N063.59.21.475 W022.36.33.191
                                         N063.59.21.483 W022.36.32.893
                                         N063.59.21.441 W022.36.32.609
                                         N063.59.21.370 W022.36.32.347
                                         N063.59.21.191 W022.36.31.900
                                         N063.59.21.371 W022.36.32.347
                                         N063.59.21.440 W022.36.32.607
                                         N063.59.21.483 W022.36.32.886
                                         N063.59.21.476 W022.36.33.197
                                         N063.59.21.433 W022.36.33.505
                                         N063.59.21.330 W022.36.33.766
                                         N063.59.21.231 W022.36.33.961
                                         N063.59.21.141 W022.36.34.102
                                         N063.59.21.040 W022.36.34.123
                                         N063.59.20.424 W022.36.34.126
                                         N063.59.19.308 W022.36.34.120
                                         N063.59.17.957 W022.36.34.116
                                         N063.59.16.651 W022.36.34.113
                                         N063.59.12.190 W022.36.34.097
                                         N063.59.10.260 W022.36.34.095
                                         N063.59.07.793 W022.36.34.118
                                         N063.59.07.186 W022.36.34.112
